Round,Date,Home team,Home team code,Home score,Away team,Away team code,Away score,Data availability
16,2/08/2022,Sunshine Coast Wanderers,SCW,0,Lions,LIO,3,Y
16,3/08/2022,Brisbane Roar Youth,BRR,1,Capalaba FC,CAP,0,Y
20,5/08/2022,Gold Coast United,GCU,2,Gold Coast Knights,GCK,2,Y
20,6/08/2022,Logan Lightning,LIG,3,Capalaba FC,CAP,2,Y
20,6/08/2022,Eastern Suburbs,EAS,1,Brisbane City,BCT,4,Y
20,7/08/2022,Moreton Bay United,MBJ,1,Peninsula Power,PEN,2,Y
20,7/08/2022,Brisbane Roar Youth,BRR,4,Sunshine Coast Wanderers,SCW,2,Y
20,7/08/2022,Olympic FC,BOL,2,Lions,LIO,3,Y
11,9/08/2022,Eastern Suburbs,EAS,3,Gold Coast United,GCU,1,N
16,10/08/2022,Brisbane City,BCT,1,Gold Coast Knights,GCK,2,N
21,14/08/2022,Sunshine Coast Wanderers,SCW,0,Gold Coast United,GCU,0,N
21,14/08/2022,Brisbane City,BCT,4,Capalaba FC,CAP,0,N
21,14/08/2022,Gold Coast Knights,GCK,2,Olympic FC,BOL,2,N
21,14/08/2022,Eastern Suburbs,EAS,1,Brisbane Roar Youth,BRR,0,N
21,14/08/2022,Lions,LIO,3,Moreton Bay United,MBJ,1,N
21,17/08/2022,Peninsula Power,PEN,-1,Logan Lightning,LIG,-1,N
8,17/08/2022,Brisbane Roar Youth,BRR,-1,Gold Coast Knights,GCK,-1,N
22,20/08/2022,Gold Coast United,GCU,-1,Eastern Suburbs,EAS,-1,N
22,20/08/2022,Brisbane City,BCT,-1,Brisbane Roar Youth,BRR,-1,N
22,20/08/2022,Gold Coast Knights,GCK,-1,Moreton Bay United,MBJ,-1,N
22,20/08/2022,Olympic FC,BOL,-1,Sunshine Coast Wanderers,SCW,-1,N
22,20/08/2022,Lions,LIO,-1,Logan Lightning,LIG,-1,N
22,20/08/2022,Capalaba FC,CAP,-1,Peninsula Power,PEN,-1,N
18,23/08/2022,Gold Coast United,GCU,-1,Peninsula Power,PEN,-1,N
8,27/08/2022,Logan Lightning,LIG,-1,Brisbane City,BCT,-1,N
10,27/08/2022,Gold Coast United,GCU,-1,Sunshine Coast Wanderers,SCW,-1,N
18,27/08/2022,Eastern Suburbs,EAS,-1,Gold Coast Knights,GCK,-1,N
